,Date,NIFTY PSU BANK
2447,2017-12-05,3832.3
2448,2017-12-06,3751.75
2449,2017-12-07,3798.55
2450,2017-12-08,3767.1
2451,2017-12-11,3809.15
2452,2017-12-12,3798.9
2453,2017-12-13,3729.35
2454,2017-12-14,3742.3
2455,2017-12-15,3734.95
2456,2017-12-18,3822.7
2457,2017-12-19,3829.05
2458,2017-12-20,3784.9
2459,2017-12-21,3789.7
2460,2017-12-22,3819.6
2461,2017-12-26,3792.45
2462,2017-12-27,3767.55
2463,2017-12-28,3694.45
2464,2017-12-29,3700.55
2465,2018-01-01,3678.8
2466,2018-01-02,3623.85
2467,2018-01-03,3622.85
2468,2018-01-04,3720.3
2469,2018-01-05,3694.7
2470,2018-01-08,3688.65
2471,2018-01-09,3678.75
2472,2018-01-10,3628.0
2473,2018-01-11,3640.55
2474,2018-01-12,3639.1
2475,2018-01-15,3645.8
2476,2018-01-16,3543.3
2477,2018-01-17,3690.9
2478,2018-01-18,3631.45
2479,2018-01-19,3710.7
2480,2018-01-22,3685.5
2481,2018-01-23,3831.95
2482,2018-01-24,3965.6
2483,2018-01-25,3757.7
2484,2018-01-29,3704.75
2485,2018-01-30,3702.6
2486,2018-01-31,3681.75
2487,2018-02-01,3597.1
2488,2018-02-02,3492.85
2489,2018-02-05,3512.9
2490,2018-02-06,3438.95
2491,2018-02-07,3432.75
2492,2018-02-08,3523.35
2493,2018-02-09,3480.65
2494,2018-02-12,3473.05
2495,2018-02-14,3307.05
2496,2018-02-15,3270.55
2497,2018-02-16,3189.05
2498,2018-02-19,3110.65
2499,2018-02-20,3136.55
2500,2018-02-21,3170.7
2501,2018-02-22,3155.0
2502,2018-02-23,3190.25
2503,2018-02-26,3167.8
2504,2018-02-27,3057.3
2505,2018-02-28,3078.9
2506,2018-03-01,3021.45
2507,2018-03-05,3023.2
2508,2018-03-06,2936.35
2509,2018-03-07,2831.4
2510,2018-03-08,2910.7
2511,2018-03-09,2858.15
2512,2018-03-12,2844.7
2513,2018-03-13,2910.85
2514,2018-03-14,2961.75
2515,2018-03-15,2940.0
2516,2018-03-16,2932.0
2517,2018-03-19,2854.8
2518,2018-03-20,2864.45
2519,2018-03-21,2862.35
2520,2018-03-22,2804.85
2521,2018-03-23,2715.9
2522,2018-03-26,2850.1
2523,2018-03-27,2935.0
2524,2018-03-28,2878.5
2525,2018-04-02,2854.4
2526,2018-04-03,2901.45
2527,2018-04-04,2852.3
2528,2018-04-05,2992.5
2529,2018-04-06,3019.35
2530,2018-04-09,3044.35
2531,2018-04-10,3064.8
2532,2018-04-11,2993.3
2533,2018-04-12,2955.35
2534,2018-04-13,2941.2
2535,2018-04-16,2918.0
2536,2018-04-17,2899.55
2537,2018-04-18,2867.6
2538,2018-04-19,2870.7
2539,2018-04-20,2799.1
2540,2018-04-23,2818.15
2541,2018-04-24,2789.9
2542,2018-04-25,2743.9
2543,2018-04-26,2711.85
2544,2018-04-27,2814.9
2545,2018-04-30,2863.65
2546,2018-05-02,2792.25
2547,2018-05-03,2794.45
2548,2018-05-04,2784.4
2549,2018-05-07,2840.8
2550,2018-05-08,2876.5
2551,2018-05-09,2855.45
2552,2018-05-10,2821.2
2553,2018-05-11,2841.85
2554,2018-05-14,2862.85
2555,2018-05-15,2795.05
2556,2018-05-16,2709.9
2557,2018-05-17,2706.9
2558,2018-05-18,2656.75
2559,2018-05-21,2727.55
2560,2018-05-22,2816.1
2561,2018-05-23,2896.0
2562,2018-05-24,2946.35
2563,2018-05-25,2950.0
2564,2018-05-28,3029.45
2565,2018-05-29,2940.05
2566,2018-05-30,2958.7
